,nb_coincidences,prop_coincidences,bucket,initDate,lrgen_count,lrgen_mean,lrgen_std,lrgen_min,lrgen_25%,lrgen_50%,lrgen_75%,lrgen_max,antielite_salience_count,antielite_salience_mean,antielite_salience_std,antielite_salience_min,antielite_salience_25%,antielite_salience_50%,antielite_salience_75%,antielite_salience_max
0,3,0.034670056627759155,0,2023-06-29 12:00:00,3.0,10.228735151321331,0.2452694014328306,10.087128796380108,10.087128796380108,10.087128796380108,10.299538328791943,10.511947861203778,3.0,10.228735151321331,0.2452694014328306,10.087128796380108,10.087128796380108,10.087128796380108,10.299538328791943,10.511947861203778
1,22,0.25424708193690054,1,2023-06-30 00:00:00,22.0,9.510686531991702,0.8941303814060583,6.87162574405055,9.419866798787591,9.685354505615937,10.08324389225586,10.448694758252458,22.0,9.510686531991702,0.8941303814060583,6.87162574405055,9.419866798787591,9.685354505615937,10.08324389225586,10.448694758252458
2,45,0.5200508494163874,2,2023-06-30 12:00:00,45.0,7.134243045485308,3.1497438168272254,1.4097383269021169,3.523581256066956,8.484562034119469,9.87893967728078,10.534275933396358,45.0,7.134243045485308,3.1497438168272254,1.4097383269021169,3.523581256066956,8.484562034119469,9.87893967728078,10.534275933396358
3,37,0.4275973650756963,3,2023-07-01 00:00:00,37.0,7.291399548566927,3.1506883262355787,1.7214989240884444,3.6759301407794567,9.080703582283409,9.760871750062451,10.57582262544489,37.0,7.291399548566927,3.1506883262355787,1.7214989240884444,3.6759301407794567,9.080703582283409,9.760871750062451,10.57582262544489
4,120,1.3868022651103662,4,2023-07-01 12:00:00,120.0,7.414857004913285,3.0046198122342003,1.1233816510389518,4.048101359923169,8.664777586459309,10.030706420485643,10.920492096872936,120.0,7.414857004913285,3.0046198122342003,1.1233816510389518,4.048101359923169,8.664777586459309,10.030706420485643,10.920492096872936
5,59,0.6818444470125967,5,2023-07-02 00:00:00,59.0,7.020855474675133,3.022439425093662,0.9318909242185462,4.341090600573324,7.73128646669775,9.80464145327738,10.799567150861323,59.0,7.020855474675133,3.022439425093662,0.9318909242185462,4.341090600573324,7.73128646669775,9.80464145327738,10.799567150861323
6,140,1.617935975962094,6,2023-07-02 12:00:00,140.0,5.261355607584546,3.2028376319211973,-0.0366471553978149,2.6656902963280036,3.8684611571492633,8.156229542006539,10.765718643290054,140.0,5.261355607584546,3.2028376319211973,-0.0366471553978149,2.6656902963280036,3.8684611571492633,8.156229542006539,10.765718643290054
7,92,1.0632150699179475,7,2023-07-03 00:00:00,92.0,5.779151431342783,3.1990923675180545,0.4740557787643356,2.8252527501402724,5.605859108209025,8.915045000548954,10.534275933396358,92.0,5.779151431342783,3.1990923675180545,0.4740557787643356,2.8252527501402724,5.605859108209025,8.915045000548954,10.534275933396358
8,349,4.033283254362649,8,2023-07-03 12:00:00,349.0,6.360855185788293,3.1013977090149996,0.7263269229274805,3.2337699059742517,6.70785237534195,9.235070202720305,10.684506915611664,349.0,6.360855185788293,3.1013977090149996,0.7263269229274805,3.2337699059742517,6.70785237534195,9.235070202720305,10.684506915611664
9,141,1.6294926615046803,9,2023-07-04 00:00:00,141.0,6.909306783620281,2.907130658129467,0.4740557787643356,4.528375425698,7.910045139685314,9.318329108143764,10.631055186989071,141.0,6.909306783620281,2.907130658129467,0.4740557787643356,4.528375425698,7.910045139685314,9.318329108143764,10.631055186989071
10,380,4.391540506182827,10,2023-07-04 12:00:00,380.0,6.708636181519765,3.298643313892098,0.5454563107583246,3.1540959269358155,7.6660500076301625,9.822534379837965,10.845952048383648,380.0,6.708636181519765,3.298643313892098,0.5454563107583246,3.1540959269358155,7.6660500076301625,9.822534379837965,10.845952048383648
11,158,1.825956315728649,11,2023-07-05 00:00:00,158.0,6.498296221988045,2.991402853902048,0.8061312887496372,3.386188233892099,6.672726888684199,9.358796023117835,10.845952048383648,158.0,6.498296221988045,2.991402853902048,0.8061312887496372,3.386188233892099,6.672726888684199,9.358796023117835,10.845952048383648
12,128,1.4792557494510574,12,2023-07-05 12:00:00,128.0,6.781654089484603,2.9315253789039,0.9208175567248952,4.377918891618723,7.548336026007956,9.28606754510575,10.759850979308446,128.0,6.781654089484603,2.9315253789039,0.9208175567248952,4.377918891618723,7.548336026007956,9.28606754510575,10.759850979308446
13,37,0.4275973650756963,13,2023-07-06 00:00:00,37.0,6.446951403447277,3.18750850932508,1.3993247662812012,3.0899341290651186,7.107055171255238,9.526115360710255,10.29915965463395,37.0,6.446951403447277,3.18750850932508,1.3993247662812012,3.0899341290651186,7.107055171255238,9.526115360710255,10.29915965463395
14,45,0.5200508494163874,14,2023-07-06 12:00:00,45.0,5.979311456186401,3.2040631838002067,1.3015113068365851,2.744701114206548,5.978890813047411,9.086043103616992,10.403615499688502,45.0,5.979311456186401,3.2040631838002067,1.3015113068365851,2.744701114206548,5.978890813047411,9.086043103616992,10.403615499688502
15,20,0.23113371085172774,15,2023-07-07 00:00:00,20.0,6.972777640506496,2.9002930248698298,1.8442586028255388,4.5231781771468835,7.477242225324665,9.708682553309263,10.374972181605507,20.0,6.972777640506496,2.9002930248698298,1.8442586028255388,4.5231781771468835,7.477242225324665,9.708682553309263,10.374972181605507
16,8,0.09245348434069109,16,2023-07-07 12:00:00,8.0,5.067631628279921,3.3729291905528194,1.6946098334458606,1.872548941033462,4.364154307854529,7.786139590440831,9.999366355669297,8.0,5.067631628279921,3.3729291905528194,1.6946098334458606,1.872548941033462,4.364154307854529,7.786139590440831,9.999366355669297
