CHES_2019,parliamentary_group
Centristes,
EELV,Écologiste - NUPES
LFI,La France insoumise - NUPES
LR,Les Républicains
LREM,Renaissance
MoDem,Démocrate (MoDem et Indépendants)
PCF,Gauche Démocrate et Républicaine - NUPES
PRG,
PS,Socialistes et Apparentés (Membre de L’Intergroupe NUPES)
RN,Rassemblement National
,"Libertés, Indépendants, Outre-Mer Et Territoires"
,Horizons et Apparentés
