group	name
RN	Alexandre Sabatou
RN	Emeric Salmon
RN	Jean-Philippe Tanguy
RN	Michaël Taverne
RN	Lionel Tivoli
MoDem	Romain Daubié
LR	Sébastien Meurant
LREM	Jean-François Lovisolo
LFI	Rodrigo Arenas
LFI	Christophe Bex
LFI	Carlos Martens Bilongo
LR	Ian Boucard
LFI	Sylvain Carrière
LFI	Hadrien Clouet
LFI	Sébastien Delogu
LFI	David Guiraud
LFI	Mathilde Hignet
LFI	Andy Kerbrat
LFI	Arnaud Le Gall
LFI	Antoine Léaument
LFI	Élise Leboucher
LFI	Jérôme Legavre
LFI	Sarah Legrain
PS	Gérard Leseul
EELV	Benjamin Lucas
LFI	William Martinet
LFI	Damien Maudet
LFI	Marianne Maximi
LFI	Nathalie Oziol
PS	Christine Pires Beaune
LFI	Sébastien Rome
LFI	Ersilia Soudais
LFI	Anne Stambach-Terrenoir
LFI	Matthias Tavel
PS	Mélanie Thomin
LREM	Antoine Armand
LREM	Éric Bothorel
LREM	Pierre Cazeneuve
LREM	Julie Delpech
LREM	Brigitte Klinkert
MoDem	Pascal Lecamp
LREM	Denis Masséglia
LREM	Nicolas Metzdorf
LREM	Lionel Royer-Perreaut
LREM	Christopher Weissberg
LREM	Miller Laure
MoDem	Blandine Brocard
LREM	Céline Calvez
PS	Jérôme Guedj
LREM	Gilles Le Gendre
LR	Jean-Baptiste Blanc
LR	Catherine Dumas
LR	Roger Karoutchi
LR	Philippe Mouiller
LR	Fabrice Brun
LREM	Thomas Cazenave
LR	Dino Cinieri
LR	Nicolas Forissier
LR	Jérôme Nury
LR	Raphaël Schellenberger
LR	Stéphane Piednoir
LREM	Michèle Peyron
LREM	Cécile Rilhac
LREM	Bertrand Bouyx
LREM	Fabienne Colboc
LREM	Éric Girardin
LREM	Sandrine Le Feur
LREM	Didier Le Gac
LREM	Brigitte Liso
LREM	Graziella Melchior
LREM	Huguette Tiegna
LREM	Guillaume Vuilletet
PS	Marie-Noëlle Battistel
LREM	Mireille Clapot
LREM	Thomas Gassilloud
MoDem	Sandrine Josso
LR	Alexandre Vincendet
PS	Guillaume Garot
LR	Marc Le Fur
MoDem	Philippe Vigier
MoDem	Géraldine Bannier
LREM	Benjamin Dirx
LREM	Annaïg Le Meur
LREM	Christine Le Nabour
LREM	Nicole Le Peih
LREM	Laurence Maillart-Méhaignerie
LREM	Jacqueline Maquet
LREM	Louis Margueritte
LREM	Liliana Tanguy
LREM	Annie Vidal
LREM	Corinne Vignon
LR	Marc-Philippe Daubresse
LR	Gérard Longuet
LR	Vincent Segouin
LREM	Quentin Bataillon
MoDem	Christophe Blanchet
MoDem	Cyrille Isaac-Sibille
LREM	Didier Martin
PS	Valérie Rabault
PS	Hervé Saulignac
LREM	Sarah Tanzilli
LREM	Anne Brugnera
MoDem	Emmanuel Mandon
LR	Emmanuel Maquet
MoDem	Pierre Morel-À-L'Huissier
MoDem	Maud Petit
LR	Patrick Hetzel
PS	Philippe Naillet
MoDem	Philippe Latombe
LR	Nadine Bellurot
LR	Laurence Garnier
LR	Alain Joyandet
LR	Damien Regnard
LR	Cédric Vial
LREM	Caroline Abadie
EELV	Christine Arrighi
PS	Joël Aviragnet
MoDem	Erwan Balanant
PS	Christian Baptiste
PS	Mickaël Bouloux
LREM	Danielle Brulebois
PS	Philippe Brun
PS	Alain David
PS	Inaki Echaniz
LFI	Martine Etienne
MoDem	Élodie Jacquier-Laforge
PS	Chantal Jourdan
PS	Marietta Karamanli
PS	Fatiha Keloua Hachi
LREM	Fadila Khattabi
EELV	Julie Laernoes
LFI	Maxime Laisney
MoDem	Aude Luquet
MoDem	Sophie Mette
LREM	Marjolaine Meynier-Millefert
EELV	Jean-Claude Raux
PS	Claudia Rouaux
EELV	Sabrina Sebaihi
EELV	Sophie Taillé-Polian
EELV	Nicolas Thierry
MoDem	Sabine Thillaye
MoDem	Nicolas Turquois
PS	Roger Vicot
PCF	Jiovanny William
LR	Pascal Allizard
LR	François Bonhomme
LR	Gilbert Bouchet
LR	Jean-Marc Boyer
LR	Agnès Canayer
LR	Marie-Christine Chauvin
LR	Laure Darcos
